id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e3640413a40c,a,an,69,728,833,797,764
5e3640413a40c,n,no,36,314,454,350,418
5e3640413a40c,o,oa,104,378,522,482,418
5e3640413a40c,a,an,40,331,456,371,416
5e3640413a40c,n,no,85,211,366,296,281
5e3640413a40c,o,ot,70,331,473,401,403
5e3640413a40c,t,tt,72,128,253,200,181
5e3640413a40c,t,tshift,53,1182,1305,1235,1252
5e3640413a40c,shift,shiftmeta1,70,827,1002,897,932
5e3640413a40c,meta1,meta1@,105,631,821,736,716
5e3640413a40c,@,@normal,85,361,553,446,468
5e3640413a40c,normal,normalg,107,1024,1208,1131,1101
5e3640413a40c,g,gm,77,340,477,417,400
5e3640413a40c,m,ma,60,360,477,420,417
5e3640413a40c,a,ai,57,312,459,369,402
5e3640413a40c,i,il,90,559,704,649,614
5e3640413a40c,l,lmeta1,55,1191,1321,1246,1266
5e3640413a40c,meta1,meta1.,75,498,660,573,585
5e3640413a40c,.,.normal,87,212,367,299,280
5e3640413a40c,normal,normalc,68,469,634,537,566
5e3640413a40c,c,co,97,314,501,411,404
5e3640413a40c,o,om,90,226,387,316,297
5e3640413a40c,m,ma,71,34881,35028,34952,34957
5e3640413a40c,a,an,76,392,573,468,497
5e3640413a40c,n,na,105,595,769,700,664
5e3640413a40c,a,an,69,301,441,370,372
5e3640413a40c,n,no,71,177,339,248,268
5e3640413a40c,o,ot,91,309,509,400,418
5e3640413a40c,t,tt,109,154,354,263,245
5e3640413a40c,t,tmeta1,91,270,438,361,347
5e3640413a40c,meta1,meta1@,77,448,615,525,538
5e3640413a40c,@,@normal,90,893,1057,983,967
5e3640413a40c,normal,normalg,74,794,940,868,866
5e3640413a40c,g,gm,72,260,423,332,351
5e3640413a40c,m,mi,91,777,947,868,856
5e3640413a40c,i,il,79,192,369,271,290
5e3640413a40c,l,l.,98,340,519,438,421
5e3640413a40c,.,.c,81,447,594,528,513
5e3640413a40c,c,co,66,299,434,365,368
5e3640413a40c,o,om,69,246,369,315,300
5e3640413a40c,m,ma,54,31063,31207,31117,31153
5e3640413a40c,a,an,90,346,523,436,433
5e3640413a40c,n,no,87,1394,1553,1481,1466
5e3640413a40c,o,oa,72,441,623,513,551
5e3640413a40c,a,ao,110,777,995,887,885
5e3640413a40c,o,ot,108,593,790,701,682
5e3640413a40c,t,tt,89,145,305,234,216
5e3640413a40c,t,tmeta1,71,391,537,462,466
5e3640413a40c,meta1,meta1@,75,547,728,622,653
5e3640413a40c,@,@normal,106,342,536,448,430
5e3640413a40c,normal,normalg,88,713,877,801,789
5e3640413a40c,g,ga,76,756,943,832,867
5e3640413a40c,a,ai,111,671,840,782,729
5e3640413a40c,i,il,58,211,372,269,314
5e3640413a40c,l,l.,103,436,640,539,537
5e3640413a40c,.,.c,101,578,749,679,648
5e3640413a40c,c,co,70,261,406,331,336
5e3640413a40c,o,om,75,226,390,301,315
5e3640413a40c,m,ma,89,39019,39175,39108,39086
5e3640413a40c,a,am,67,382,517,449,450
5e3640413a40c,m,mo,68,233,351,301,283
5e3640413a40c,o,oa,50,325,412,375,362
5e3640413a40c,a,an,37,286,422,323,385
5e3640413a40c,n,no,99,176,386,275,287
5e3640413a40c,o,ot,111,378,577,489,466
5e3640413a40c,t,tt,88,143,272,231,184
5e3640413a40c,t,tmeta1,41,1427,1539,1468,1498
5e3640413a40c,meta1,meta1@,71,512,691,583,620
5e3640413a40c,@,@normal,108,409,605,517,497
5e3640413a40c,normal,normalg,88,631,806,719,718
5e3640413a40c,g,gm,87,312,455,399,368
5e3640413a40c,m,ma,56,326,456,382,400
5e3640413a40c,a,ai,74,345,489,419,415
5e3640413a40c,i,il,70,211,404,281,334
5e3640413a40c,l,l.,123,651,907,774,784
5e3640413a40c,.,.c,133,544,732,677,599
5e3640413a40c,c,co,55,237,422,292,367
5e3640413a40c,o,om,130,195,394,325,264
5e3640413a40c,m,ma,69,34684,34808,34753,34739
5e3640413a40c,a,an,55,344,485,399,430
5e3640413a40c,n,no,86,232,406,318,320
5e3640413a40c,o,oa,88,429,604,517,516
5e3640413a40c,a,an,87,577,754,664,667
5e3640413a40c,n,no,90,210,405,300,315
5e3640413a40c,o,ot,105,1079,1257,1184,1152
5e3640413a40c,t,tt,73,163,288,236,215
5e3640413a40c,t,tmeta1,52,384,519,436,467
5e3640413a40c,meta1,meta1@,83,513,684,596,601
5e3640413a40c,@,@normal,88,397,542,485,454
5e3640413a40c,normal,normalg,57,526,620,583,563
5e3640413a40c,g,gm,37,380,520,417,483
5e3640413a40c,m,ma,103,595,787,698,684
5e3640413a40c,a,ao,89,527,650,616,561
5e3640413a40c,o,ol,34,648,791,682,757
5e3640413a40c,l,lbksp,109,488,705,597,596
5e3640413a40c,bksp,bkspbksp,108,112,310,220,202
5e3640413a40c,bksp,bkspi,90,547,721,637,631
5e3640413a40c,i,il,84,197,368,281,284
5e3640413a40c,l,l.,87,465,673,552,586
5e3640413a40c,.,.c,121,579,769,700,648
5e3640413a40c,c,co,69,276,435,345,366
5e3640413a40c,o,om,90,264,440,354,350
5e3640413a40c,m,ma,86,34830,34991,34916,34905
5e3640413a40c,a,an,75,379,507,454,432
5e3640413a40c,n,no,53,197,370,250,317
5e3640413a40c,o,oa,120,361,573,481,453
5e3640413a40c,a,an,92,340,524,432,432
5e3640413a40c,n,no,92,281,491,373,399
5e3640413a40c,o,ot,118,378,584,496,466
5e3640413a40c,t,tt,88,179,354,267,266
5e3640413a40c,t,tmeta1,87,596,754,683,667
5e3640413a40c,meta1,meta1@,71,479,639,550,568
5e3640413a40c,@,@normal,89,428,589,517,500
5e3640413a40c,normal,normalg,72,496,622,568,550
5e3640413a40c,g,gm,54,375,538,429,484
5e3640413a40c,m,ma,109,377,575,486,466
5e3640413a40c,a,ai,89,329,489,418,400
5e3640413a40c,i,il,71,211,405,282,334
5e3640413a40c,l,l.,123,433,673,556,550
5e3640413a40c,.,.c,117,545,749,662,632
5e3640413a40c,c,co,87,294,487,381,400
5e3640413a40c,o,om,106,344,540,450,434
5e3640413a40c,m,ma,90,27549,27707,27639,27617
5e3640413a40c,a,an,68,417,565,485,497
5e3640413a40c,n,no,80,204,381,284,301
5e3640413a40c,o,oa,97,347,516,444,419
5e3640413a40c,a,an,72,345,508,417,436
5e3640413a40c,n,no,91,202,385,293,294
5e3640413a40c,o,ot,92,398,579,490,487
5e3640413a40c,t,tt,89,161,304,250,215
5e3640413a40c,t,tmeta1,54,346,489,400,435
5e3640413a40c,meta1,meta1@,89,479,658,568,569
5e3640413a40c,@,@normal,90,361,523,451,433
5e3640413a40c,normal,normalg,72,577,707,649,635
5e3640413a40c,g,gm,58,363,534,421,476
5e3640413a40c,m,ma,113,409,618,522,505
5e3640413a40c,a,ai,96,330,494,426,398
5e3640413a40c,i,il,68,245,436,313,368
5e3640413a40c,l,l.,123,395,641,518,518
5e3640413a40c,.,.c,123,777,971,900,848
5e3640413a40c,c,co,71,411,524,482,453
5e3640413a40c,o,om,42,308,425,350,383
5e3640413a40c,m,ma,75,27666,27806,27741,27731
5e3640413a40c,a,an,65,346,503,411,438
5e3640413a40c,n,no,92,163,356,255,264
5e3640413a40c,o,oa,101,346,536,447,435
5e3640413a40c,a,an,89,312,455,401,366
5e3640413a40c,n,no,54,195,337,249,283
5e3640413a40c,o,ot,88,378,556,466,468
5e3640413a40c,t,tt,90,127,288,217,198
5e3640413a40c,t,tmeta1,71,268,455,339,384
5e3640413a40c,meta1,meta1normal,116,809,1014,925,898
5e3640413a40c,normal,normalg,89,448,593,537,504
5e3640413a40c,g,ga,56,1375,1505,1431,1449
5e3640413a40c,a,ai,74,327,474,401,400
5e3640413a40c,i,il,73,227,405,300,332
5e3640413a40c,l,l.,105,394,574,499,469
5e3640413a40c,.,.c,75,413,573,488,498
5e3640413a40c,c,co,85,323,500,408,415
5e3640413a40c,o,om,92,253,443,345,351
5e3640413a40c,m,ma,98,32032,32200,32130,32102
5e3640413a40c,a,an,70,330,485,400,415
5e3640413a40c,n,no,85,163,336,248,251
5e3640413a40c,o,oa,88,324,488,412,400
5e3640413a40c,a,an,76,262,426,338,350
5e3640413a40c,n,no,88,195,354,283,266
5e3640413a40c,o,ot,71,379,540,450,469
5e3640413a40c,t,tt,90,163,338,253,248
5e3640413a40c,t,tmeta1,85,2079,2253,2164,2168
5e3640413a40c,meta1,meta1@,89,546,723,635,634
5e3640413a40c,@,@normal,88,313,473,401,385
5e3640413a40c,normal,normalg,72,815,952,887,880
5e3640413a40c,g,gm,65,274,416,339,351
5e3640413a40c,m,ma,77,361,496,438,419
5e3640413a40c,a,ai,58,343,475,401,417
5e3640413a40c,i,il,74,208,372,282,298
5e3640413a40c,l,l.,90,296,475,386,385
5e3640413a40c,.,.c,89,444,604,533,515
5e3640413a40c,c,co,71,277,422,348,351
5e3640413a40c,o,om,74,245,389,319,315
5e3640413a40c,m,ma,70,37354,37475,37424,37405
5e3640413a40c,a,an,51,379,483,430,432
5e3640413a40c,n,na,53,676,788,729,735
5e3640413a40c,a,an,59,273,426,332,367
5e3640413a40c,n,no,94,218,407,312,313
5e3640413a40c,o,oo,95,2793,2962,2888,2867
5e3640413a40c,o,oa,74,730,862,804,788
5e3640413a40c,a,an,58,356,490,414,432
5e3640413a40c,n,no,76,560,724,636,648
5e3640413a40c,o,ot,88,864,1021,952,933
5e3640413a40c,t,tt,69,161,284,230,215
5e3640413a40c,t,tmeta1,54,347,506,401,452
5e3640413a40c,meta1,meta1@,105,513,691,618,586
5e3640413a40c,@,@normal,73,509,644,582,571
5e3640413a40c,normal,normalg,62,520,671,582,609
5e3640413a40c,g,ga,89,1279,1409,1368,1320
5e3640413a40c,a,ai,41,327,457,368,416
5e3640413a40c,i,il,89,226,403,315,314
5e3640413a40c,l,l.,88,379,560,467,472
5e3640413a40c,.,.c,93,475,638,568,545
5e3640413a40c,c,co,70,280,424,350,354
5e3640413a40c,o,om,74,294,473,368,399
5e3640413a40c,m,ma,105,82522,82703,82627,82598
5e36422296180,a,an,76,297,426,373,350
5e36422296180,n,no,53,194,337,247,284
5e36422296180,o,oa,90,109,309,199,219
5e36422296180,a,an,110,123,343,233,233
5e36422296180,n,no,110,141,396,251,286
5e36422296180,o,ot,145,291,509,436,364
5e36422296180,t,tt,73,124,271,197,198
5e36422296180,t,tmeta1,74,846,1007,920,933
5e36422296180,meta1,meta1@,87,499,670,586,583
5e36422296180,@,@normal,84,144,319,228,235
5e36422296180,normal,normalg,91,761,924,852,833
5e36422296180,g,gm,72,279,456,351,384
5e36422296180,m,mi,105,326,538,431,433
5e36422296180,i,il,107,255,457,362,350
5e36422296180,l,l.,95,796,1012,891,917
5e36422296180,.,.c,121,595,787,716,666
5e36422296180,c,co,71,262,405,333,334
5e36422296180,o,om,72,428,556,500,484
5e36422296180,m,ma,56,27981,28142,28037,28086
5e36422296180,a,an,105,127,324,232,219
5e36422296180,n,no,92,158,342,250,250
5e36422296180,o,on,92,323,492,415,400
5e36422296180,n,no,77,157,325,234,248
5e36422296180,o,ot,91,379,527,470,436
5e36422296180,t,tt,57,140,237,197,180
5e36422296180,t,tmeta1,40,997,1091,1037,1051
5e36422296180,meta1,meta1@,54,395,503,449,449
5e36422296180,@,@normal,54,128,255,182,201
5e36422296180,normal,normalg,73,628,756,701,683
5e36422296180,g,gm,55,346,490,401,435
5e36422296180,m,mi,89,375,538,464,449
5e36422296180,i,il,74,210,357,284,283
5e36422296180,l,l.,73,340,509,413,436
5e36422296180,.,.c,96,453,627,549,531
5e36422296180,c,co,78,245,395,323,317
5e36422296180,o,om,72,209,356,281,284
5e36422296180,m,ma,75,44851,45013,44926,44938
5e36422296180,a,an,87,352,505,439,418
5e36422296180,n,no,66,177,348,243,282
5e36422296180,o,oa,105,345,523,450,418
5e36422296180,a,an,73,328,440,401,367
5e36422296180,n,no,39,355,490,394,451
5e36422296180,o,ot,96,377,546,473,450
5e36422296180,t,tt,73,141,272,214,199
5e36422296180,t,tmeta1,58,294,424,352,366
5e36422296180,meta1,meta1@,72,461,638,533,566
5e36422296180,@,@normal,105,344,521,449,416
5e36422296180,normal,normalg,72,447,590,519,518
5e36422296180,g,gm,71,279,455,350,384
5e36422296180,m,ma,105,329,488,434,383
5e36422296180,a,ai,54,313,438,367,384
5e36422296180,i,il,71,220,387,291,316
5e36422296180,l,l.,96,447,647,543,551
5e36422296180,.,.c,104,578,754,682,650
5e36422296180,c,co,72,293,489,365,417
5e36422296180,o,om,124,244,456,368,332
5e36422296180,m,ma,88,28950,29108,29038,29020
5e36422296180,a,an,70,364,522,434,452
5e36422296180,n,no,88,194,353,282,265
5e36422296180,o,oa,71,379,539,450,468
5e36422296180,a,an,89,277,456,366,367
5e36422296180,n,no,90,208,390,298,300
5e36422296180,o,ot,92,394,558,486,466
5e36422296180,t,tt,72,125,271,197,199
5e36422296180,t,tmeta1,74,396,522,470,448
5e36422296180,meta1,meta1@,52,1014,1172,1066,1120
5e36422296180,@,@normal,106,361,537,467,431
5e36422296180,normal,normalg,70,429,572,499,502
5e36422296180,g,gm,73,312,475,385,402
5e36422296180,m,ma,90,359,521,449,431
5e36422296180,a,ai,72,312,472,384,400
5e36422296180,i,il,88,211,388,299,300
5e36422296180,l,l.,89,427,624,516,535
5e36422296180,.,.c,108,628,824,736,716
5e36422296180,c,co,88,394,554,482,466
5e36422296180,o,om,72,278,424,350,352
5e36422296180,m,ma,74,28364,28510,28438,28436
5e36422296180,a,an,72,312,471,384,399
5e36422296180,n,no,87,177,355,264,268
5e36422296180,o,oa,91,360,509,451,418
5e36422296180,a,an,58,309,473,367,415
5e36422296180,n,no,106,193,424,299,318
5e36422296180,o,ot,125,310,523,435,398
5e36422296180,t,tt,88,160,288,248,200
5e36422296180,t,tmeta1,40,379,474,419,434
5e36422296180,meta1,meta1@,55,661,822,716,767
5e36422296180,@,@normal,106,344,504,450,398
5e36422296180,normal,normalg,54,447,590,501,536
5e36422296180,g,gm,89,344,505,433,416
5e36422296180,m,ma,72,394,570,466,498
5e36422296180,a,ai,104,292,489,396,385
5e36422296180,i,il,93,193,376,286,283
5e36422296180,l,l.,90,645,826,735,736
5e36422296180,.,.c,91,543,706,634,615
5e36422296180,c,co,72,260,422,332,350
5e36422296180,o,om,90,228,406,318,316
5e36422296180,m,ma,88,29434,29592,29522,29504
5e36422296180,a,an,70,297,486,367,416
5e36422296180,n,no,119,178,370,297,251
5e36422296180,o,oa,73,361,506,434,433
5e36422296180,a,am,72,313,474,385,402
5e36422296180,m,mt,89,677,871,766,782
5e36422296180,t,tt,105,125,288,230,183
5e36422296180,t,tmeta1,58,329,474,387,416
5e36422296180,meta1,meta1@,87,479,656,566,569
5e36422296180,@,@normal,90,341,506,431,416
5e36422296180,normal,normalg,75,511,658,586,583
5e36422296180,g,gm,72,311,455,383,383
5e36422296180,m,ma,72,428,572,500,500
5e36422296180,a,ai,72,362,505,434,433
5e36422296180,i,il,71,211,388,282,317
5e36422296180,l,l.,106,373,576,479,470
5e36422296180,.,.c,97,609,745,706,648
5e36422296180,c,co,39,1109,1239,1148,1200
5e36422296180,o,om,91,277,457,368,366
5e36422296180,m,ma,89,27533,27692,27622,27603
5e36422296180,a,an,70,314,487,384,417
5e36422296180,n,no,103,211,388,314,285
5e36422296180,o,oa,74,510,673,584,599
5e36422296180,a,an,89,611,806,700,717
5e36422296180,n,no,106,210,406,316,300
5e36422296180,o,ot,90,462,608,552,518
5e36422296180,t,tt,56,141,254,197,198
5e36422296180,t,tmeta1,57,329,456,386,399
5e36422296180,meta1,meta1@,70,412,556,482,486
5e36422296180,@,@normal,74,305,456,379,382
5e36422296180,normal,normalg,77,430,560,507,483
5e36422296180,g,gm,53,397,591,450,538
5e36422296180,m,ma,141,320,571,461,430
5e36422296180,a,ai,110,276,463,386,353
5e36422296180,i,il,77,274,440,351,363
5e36422296180,l,l.,89,330,507,419,418
5e36422296180,.,.c,88,745,889,833,801
5e36422296180,c,co,56,276,421,332,365
5e36422296180,o,om,89,245,405,334,316
5e36422296180,m,ma,71,27851,28008,27922,27937
