id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e3640413a40c,t,ti,97,297,467,394,370
5e3640413a40c,i,in,73,365,477,438,404
5e3640413a40c,n,nspace,39,296,402,335,363
5e3640413a40c,space,spacea,67,746,873,813,806
5e3640413a40c,a,an,60,357,472,417,412
5e3640413a40c,n,nu,55,310,422,365,367
5e3640413a40c,u,uc,57,1143,1292,1200,1235
5e3640413a40c,c,ch,92,207,390,299,298
5e3640413a40c,h,ht,91,695,825,786,734
5e3640413a40c,t,tr,39,212,320,251,281
5e3640413a40c,r,ra,69,1094,1223,1163,1154
5e3640413a40c,a,ak,60,909,1059,969,999
5e3640413a40c,k,ko,90,222,387,312,297
5e3640413a40c,o,oo,75,148,291,223,216
5e3640413a40c,o,on,68,246,402,314,334
5e3640413a40c,n,nt,88,43315,43476,43403,43388
5e3640413a40c,t,ti,73,345,489,418,416
5e3640413a40c,i,in,71,278,406,349,335
5e3640413a40c,n,na,57,1331,1455,1388,1398
5e3640413a40c,a,an,67,354,520,421,453
5e3640413a40c,n,nu,99,424,579,523,480
5e3640413a40c,u,uc,56,544,661,600,605
5e3640413a40c,c,ch,61,208,341,269,280
5e3640413a40c,h,ht,72,641,787,713,715
5e3640413a40c,t,tr,74,213,358,287,284
5e3640413a40c,r,ra,71,196,322,267,251
5e3640413a40c,a,ak,55,346,490,401,435
5e3640413a40c,k,ko,89,179,335,268,246
5e3640413a40c,o,oo,67,178,315,245,248
5e3640413a40c,o,on,70,266,426,336,356
5e3640413a40c,n,nt,90,31927,32076,32017,31986
5e3640413a40c,t,ti,59,294,440,353,381
5e3640413a40c,i,in,87,241,402,328,315
5e3640413a40c,n,nspace,74,929,1092,1003,1018
5e3640413a40c,space,spacen,89,726,891,815,802
5e3640413a40c,n,nu,76,242,408,318,332
5e3640413a40c,u,uc,90,278,442,368,352
5e3640413a40c,c,ch,74,204,336,278,262
5e3640413a40c,h,ha,58,664,812,722,754
5e3640413a40c,a,ay,90,274,436,364,346
5e3640413a40c,y,yt,72,1646,1791,1718,1719
5e3640413a40c,t,tr,73,176,323,249,250
5e3640413a40c,r,rk,74,732,895,806,821
5e3640413a40c,k,ko,89,225,352,314,263
5e3640413a40c,o,oo,38,119,236,157,198
5e3640413a40c,o,on,79,344,533,423,454
5e3640413a40c,n,nt,110,39767,39916,39877,39806
5e3640413a40c,t,to,39,273,439,312,400
5e3640413a40c,o,oi,127,1842,2039,1969,1912
5e3640413a40c,i,in,70,338,467,408,397
5e3640413a40c,n,nspace,59,483,645,542,586
5e3640413a40c,space,spacea,103,277,468,380,365
5e3640413a40c,a,an,88,290,487,378,399
5e3640413a40c,n,nu,109,232,411,341,302
5e3640413a40c,u,uc,70,330,454,400,384
5e3640413a40c,c,ch,54,191,321,245,267
5e3640413a40c,h,ha,76,1128,1295,1204,1219
5e3640413a40c,a,at,91,595,767,686,676
5e3640413a40c,t,tr,81,135,314,216,233
5e3640413a40c,r,ra,98,219,415,317,317
5e3640413a40c,a,ak,98,336,515,434,417
5e3640413a40c,k,ko,81,185,349,266,268
5e3640413a40c,o,oo,83,184,364,267,281
5e3640413a40c,o,on,97,636,798,733,701
5e3640413a40c,n,nt,65,38083,38220,38148,38155
5e3640413a40c,t,ti,72,283,409,355,337
5e3640413a40c,i,in,54,259,386,313,332
5e3640413a40c,n,nspace,73,245,407,318,334
5e3640413a40c,space,spacea,89,393,557,482,468
5e3640413a40c,a,an,75,324,491,399,416
5e3640413a40c,n,nu,92,259,421,351,329
5e3640413a40c,u,uc,70,362,525,432,455
5e3640413a40c,c,ch,93,197,386,290,293
5e3640413a40c,h,ha,96,531,701,627,605
5e3640413a40c,a,at,74,294,442,368,368
5e3640413a40c,t,tr,74,228,387,302,313
5e3640413a40c,r,ra,85,263,440,348,355
5e3640413a40c,a,ak,92,341,522,433,430
5e3640413a40c,k,ko,89,229,404,318,315
5e3640413a40c,o,oo,86,145,338,231,252
5e3640413a40c,o,on,107,283,473,390,366
5e3640413a40c,n,nt,83,39448,39601,39531,39518
5e3640413a40c,t,ti,70,300,472,370,402
5e3640413a40c,i,in,102,327,522,429,420
