id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e3640413a40c,meta1,meta10,75,460,623,535,548
5e3640413a40c,0,08,88,695,874,783,786
5e3640413a40c,8,86,91,377,556,468,465
5e3640413a40c,6,66,88,193,370,281,282
5e3640413a40c,6,67,89,180,340,269,251
5e3640413a40c,7,70,71,293,455,364,384
5e3640413a40c,0,01,91,527,690,618,599
5e3640413a40c,1,16,72,395,525,467,453
5e3640413a40c,6,60,58,348,519,406,461
5e3640413a40c,0,06,113,392,583,505,470
5e3640413a40c,6,6bksp,78,926,1094,1004,1016
5e3640413a40c,bksp,bksp7,90,445,625,535,535
5e3640413a40c,7,7meta1,90,36649,36800,36739,36710
5e3640413a40c,meta1,meta10,61,452,606,513,545
5e3640413a40c,0,08,93,558,741,651,648
5e3640413a40c,8,86,90,328,506,418,416
5e3640413a40c,6,66,88,243,387,331,299
5e3640413a40c,6,67,56,194,320,250,264
5e3640413a40c,7,70,70,312,474,382,404
5e3640413a40c,0,01,92,476,659,568,567
5e3640413a40c,1,16,91,490,639,581,548
5e3640413a40c,6,60,58,261,459,319,401
5e3640413a40c,0,07,140,278,490,418,350
5e3640413a40c,7,70,72,36017,36174,36089,36102
5e3640413a40c,0,08,85,866,1019,951,934
5e3640413a40c,8,86,68,462,603,530,535
5e3640413a40c,6,66,73,208,354,281,281
5e3640413a40c,6,67,73,178,321,251,248
5e3640413a40c,7,70,70,566,725,636,655
5e3640413a40c,0,01,89,474,658,563,569
5e3640413a40c,1,16,95,587,757,682,662
5e3640413a40c,6,67,75,179,341,254,266
5e3640413a40c,7,70,87,378,571,465,484
5e3640413a40c,0,0bksp,106,4162,4373,4268,4267
5e3640413a40c,bksp,bkspbksp,105,226,420,331,315
5e3640413a40c,bksp,bksp0,89,580,774,669,685
5e3640413a40c,0,07,105,362,575,467,470
5e3640413a40c,7,7meta1,108,40679,40872,40787,40764
5e3640413a40c,meta1,meta10,85,563,736,648,651
5e3640413a40c,0,08,88,463,606,551,518
5e3640413a40c,8,86,55,376,539,431,484
5e3640413a40c,6,66,108,260,439,368,331
5e3640413a40c,6,67,71,448,608,519,537
5e3640413a40c,7,70,89,274,469,363,380
5e3640413a40c,0,01,106,598,775,704,669
5e3640413a40c,1,16,71,1460,1622,1531,1551
5e3640413a40c,6,67,91,1042,1223,1133,1132
5e3640413a40c,7,7meta1,90,38117,38277,38207,38187
5e3640413a40c,meta1,meta10,70,474,670,544,600
5e3640413a40c,0,08,126,343,558,469,432
5e3640413a40c,8,86,89,379,572,468,483
5e3640413a40c,6,66,104,177,369,281,265
5e3640413a40c,6,67,88,195,354,283,266
5e3640413a40c,7,70,71,496,658,567,587
5e3640413a40c,0,0bksp,91,597,775,688,684
5e3640413a40c,bksp,bksp0,87,3793,3988,3880,3901
5e3640413a40c,0,01,108,525,692,633,584
5e3640413a40c,1,16,59,392,523,451,464
5e3640413a40c,6,60,72,413,590,485,518
5e3640413a40c,0,07,105,346,536,451,431
5e3640413a40c,7,7meta1,85,33798,33971,33883,33886
5e3640413a40c,meta1,meta10,88,398,589,486,501
5e3640413a40c,0,08,103,447,617,550,514
5e3640413a40c,8,86,67,315,471,382,404
5e3640413a40c,6,66,89,210,368,299,279
5e3640413a40c,6,67,69,182,336,251,267
5e3640413a40c,7,70,85,278,489,363,404
5e3640413a40c,0,01,126,443,643,569,517
5e3640413a40c,1,16,74,357,471,431,397
5e3640413a40c,6,60,40,289,458,329,418
5e3640413a40c,0,07,129,360,562,489,433
5e3640413a40c,7,7meta1,73,32030,32191,32103,32118
5e3640413a40c,meta1,meta10,88,442,637,530,549
5e3640413a40c,0,08,107,848,1046,955,939
5e3640413a40c,8,86,91,276,454,367,363
5e3640413a40c,6,66,87,195,352,282,265
5e3640413a40c,6,67,70,282,423,352,353
5e3640413a40c,7,70,71,328,485,399,414
5e3640413a40c,0,01,86,546,704,632,618
5e3640413a40c,1,16,72,427,556,499,484
5e3640413a40c,6,60,57,329,507,386,450
5e3640413a40c,0,07,121,261,470,382,349
5e3640413a40c,7,70,88,30633,30822,30721,30734
5e3640413a40c,0,08,101,398,569,499,468
5e3640413a40c,8,86,70,376,518,446,448
5e3640413a40c,6,66,72,231,372,303,300
5e3640413a40c,6,67,69,216,336,285,267
5e3640413a40c,7,70,51,497,671,548,620
5e3640413a40c,0,01,123,459,639,582,516
5e3640413a40c,1,16,57,411,541,468,484
5e3640413a40c,6,67,73,844,989,917,916
5e3640413a40c,7,7meta1,72,37746,37891,37818,37819
5e3640413a40c,meta1,meta10,73,662,839,735,766
5e3640413a40c,0,08,104,447,638,551,534
5e3640413a40c,8,86,87,344,490,431,403
5e3640413a40c,6,66,59,290,424,349,365
5e3640413a40c,6,66,75,2533,2673,2608,2598
5e3640413a40c,6,67,65,215,315,280,250
5e3640413a40c,7,70,35,263,401,298,366
5e3640413a40c,0,01,103,430,591,533,488
5e3640413a40c,1,10,58,360,509,418,451
5e3640413a40c,0,06,91,5073,5239,5164,5148
5e3640413a40c,6,60,75,274,456,349,381
5e3640413a40c,0,07,107,330,490,437,383
5e3640413a40c,7,7meta1,53,40199,40322,40252,40269
5e3640413a40c,meta1,meta10,70,475,654,545,584
5e3640413a40c,0,08,109,1659,1861,1768,1752
5e3640413a40c,8,86,93,337,506,430,413
5e3640413a40c,6,66,76,180,343,256,267
5e3640413a40c,6,67,87,482,637,569,550
5e3640413a40c,7,70,68,280,436,348,368
5e3640413a40c,0,01,88,896,1057,984,969
5e3640413a40c,1,16,73,644,755,717,682
5e3640413a40c,6,60,38,316,469,354,431
5e3640413a40c,0,07,115,321,519,436,404
